r (mm),t_after_fine (mm)
0.0,0.10137781137440251
0.002,0.10137781137440251
0.004,0.10137781137440251
0.006,0.10137781137440251
0.008,0.10137781137440251
0.01,0.10137781137440251
0.012,0.10137781137440251
0.014,0.10137781137440251
0.016,0.10137781137440251
0.018000000000000002,0.10137781137440251
0.02,0.10137781137440251
0.022,0.10137781137440251
0.024,0.10137781137440251
0.026000000000000002,0.10137781137440251
0.028,0.10137781137440251
0.03,0.10137781137440251
0.032,0.10137781137440251
0.034,0.10137781137440251
0.036000000000000004,0.10137781137440251
0.038,0.10137781137440251
0.04,0.10137781137440251
0.042,0.10137781137440251
0.044,0.10137781137440251
0.046,0.10137781137440251
0.048,0.10137781137440251
0.05,0.10137781137440251
0.052000000000000005,0.10137781137440251
0.054,0.10137781137440251
0.056,0.10137781137440251
0.058,0.10137781137440251
0.06,0.10137781137440251
0.062,0.10137781137440251
0.064,0.10137781137440251
0.066,0.10137781137440251
0.068,0.10137781137440251
0.07,0.10137781137440251
0.07200000000000001,0.10137781137440251
0.074,0.10137781137440251
0.076,0.10137781137440251
0.078,0.10137781137440251
0.08,0.10137781137440251
0.082,0.10137781137440251
0.084,0.10137781137440251
0.08600000000000001,0.10137781137440251
0.088,0.10137781137440251
0.09,0.10137781137440251
0.092,0.10137781137440251
0.094,0.10137781137440251
0.096,0.10137781137440251
0.098,0.10137781137440251
0.1,0.10137781137440251
0.10200000000000001,0.10137781137440251
0.10400000000000001,0.10137781137440251
0.106,0.10137781137440251
0.108,0.10137781137440251
0.11,0.10137781137440251
0.112,0.10137781137440251
0.114,0.10137781137440251
0.116,0.10137781137440251
0.11800000000000001,0.10137781137440251
0.12,0.10137781137440251
0.122,0.10137781137440251
0.124,0.10137781137440251
0.126,0.10137781137440251
0.128,0.10137781137440251
0.13,0.10137781137440251
0.132,0.10137781137440251
0.134,0.10137781137440251
0.136,0.10137781137440251
0.138,0.10137781137440251
0.14,0.10137781137440251
0.14200000000000002,0.10137781137440251
0.14400000000000002,0.10137781137440251
0.146,0.10137781137440251
0.148,0.10137781137440251
0.15,0.10137781137440251
0.152,0.10137781137440251
0.154,0.10137781137440251
0.156,0.10137781137440251
0.158,0.10137781137440251
0.16,0.10137781137440251
0.162,0.10137781137440251
0.164,0.10137781137440251
0.166,0.10137781137440251
0.168,0.10137781137440251
0.17,0.10137781137440251
0.17200000000000001,0.10137781137440251
0.17400000000000002,0.10137781137440251
0.176,0.10137781137440251
0.178,0.10137781137440251
0.18,0.10137781137440251
0.182,0.10137781137440251
0.184,0.10137781137440251
0.186,0.10137781137440251
0.188,0.10137781137440251
0.19,0.10137781137440251
0.192,0.10137781137440251
0.194,0.10137781137440251
0.196,0.10137781137440251
0.198,0.10137781137440251
0.2,0.10137781137440251
0.202,0.10137781137440251
0.20400000000000001,0.10137781137440251
0.20600000000000002,0.10137781137440251
0.20800000000000002,0.10137781137440251
0.21,0.10137781137440251
0.212,0.10137781137440251
0.214,0.10137781137440251
0.216,0.10137781137440251
0.218,0.10137781137440251
0.22,0.10137781137440251
0.222,0.10137781137440251
0.224,0.10137781137440251
0.226,0.10137781137440251
0.228,0.10137781137440251
0.23,0.10137781137440251
0.232,0.10137781137440251
0.234,0.10137781137440251
0.23600000000000002,0.10137781137440251
0.23800000000000002,0.10137781137440251
0.24,0.10137781137440251
0.242,0.10137781137440251
0.244,0.10137781137440251
0.246,0.10137781137440251
0.248,0.10137781137440251
0.25,0.10137781137440251
0.252,0.10137781137440251
0.254,0.10137781137440251
0.256,0.10137781137440251
0.258,0.10137781137440251
0.26,0.10137781137440251
0.262,0.10137781137440251
0.264,0.10137781137440251
0.266,0.10137781137440251
0.268,0.10137781137440251
0.27,0.10137781137440251
0.272,0.10137781137440251
0.274,0.10137781137440251
0.276,0.10137781137440251
0.278,0.10137781137440251
0.28,0.10137781137440251
0.28200000000000003,0.10137781137440251
0.28400000000000003,0.10137781137440251
0.28600000000000003,0.10137781137440251
0.28800000000000003,0.10137781137440251
0.29,0.10137781137440251
0.292,0.10137781137440251
0.294,0.10137781137440251
0.296,0.10137781137440251
0.298,0.10137781137440251
0.3,0.10137781137440251
0.302,0.10137781137440251
0.304,0.10137781137440251
0.306,0.10137781137440251
0.308,0.10137781137440251
0.31,0.10137781137440251
0.312,0.10137781137440251
0.314,0.10137781137440251
0.316,0.10137781137440251
0.318,0.10137781137440251
0.32,0.10137781137440251
0.322,0.10137781137440251
0.324,0.10137781137440251
0.326,0.10137781137440251
0.328,0.10137781137440251
0.33,0.10137781137440251
0.332,0.10137781137440251
0.334,0.10137781137440251
0.336,0.10137781137440251
0.338,0.10137781137440251
0.34,0.10137781137440251
0.342,0.10137781137440251
0.34400000000000003,0.10137781137440251
0.34600000000000003,0.10137781137440251
0.34800000000000003,0.10137781137440251
0.35000000000000003,0.10137781137440251
0.352,0.10137781137440251
0.354,0.10137781137440251
0.356,0.10137781137440251
0.358,0.10137781137440251
0.36,0.10137781137440251
0.362,0.10137781137440251
0.364,0.10137781137440251
0.366,0.10137781137440251
0.368,0.10137781137440251
0.37,0.10137781137440251
0.372,0.10137781137440251
0.374,0.10137781137440251
0.376,0.10137781137440251
0.378,0.10137781137440251
0.38,0.10137781137440251
0.382,0.10137781137440251
0.384,0.10137781137440251
0.386,0.10137781137440251
0.388,0.10137781137440251
0.39,0.10137781137440251
0.392,0.10137781137440251
0.394,0.10137781137440251
0.396,0.10137781137440251
0.398,0.10137781137440251
0.4,0.10137781137440251
0.402,0.10137781137440251
0.404,0.10137781137440251
0.406,0.10137781137440251
0.40800000000000003,0.10137781137440251
0.41000000000000003,0.10137781137440251
0.41200000000000003,0.10137781137440251
0.41400000000000003,0.10137781137440251
0.41600000000000004,0.10137781137440251
0.418,0.10137781137440251
0.42,0.10137781137440251
0.422,0.10137781137440251
0.424,0.10137781137440251
0.426,0.10137781137440251
0.428,0.10137781137440251
0.43,0.10137781137440251
0.432,0.10137781137440251
0.434,0.10137781137440251
0.436,0.10137781137440251
0.438,0.10137781137440251
0.44,0.10137781137440251
0.442,0.10137781137440251
0.444,0.10137781137440251
0.446,0.10137781137440251
0.448,0.10137781137440251
0.45,0.10137781137440251
0.452,0.10137781137440251
0.454,0.10137781137440251
0.456,0.10137781137440251
0.458,0.10137781137440251
0.46,0.10137781137440251
0.462,0.10137781137440251
0.464,0.10137781137440251
0.466,0.10137781137440251
0.468,0.10137781137440251
0.47000000000000003,0.10137781137440251
0.47200000000000003,0.10137781137440251
0.47400000000000003,0.10137781137440251
0.47600000000000003,0.10137781137440251
0.47800000000000004,0.10137781137440251
0.48,0.10137781137440251
0.482,0.10137781137440251
0.484,0.10137781137440251
0.486,0.10137781137440251
0.488,0.10137781137440251
0.49,0.10137781137440251
0.492,0.10137781137440251
0.494,0.10137781137440251
0.496,0.10137781137440251
0.498,0.10137781137440251
0.5,0.10137781137440251
0.502,0.10137781137440251
0.504,0.10137781137440251
0.506,0.10137781137440251
0.508,0.10137781137440251
0.51,0.10137781137440251
0.512,0.10137781137440251
0.514,0.10137781137440251
0.516,0.10137781137440251
0.518,0.10137781137440251
0.52,0.10137781137440251
0.522,0.10137781137440251
0.524,0.10137781137440251
0.526,0.10137781137440251
0.528,0.10137781137440251
0.53,0.10137781137440251
0.532,0.10137781137440251
0.534,0.10137781137440251
0.536,0.10137781137440251
0.538,0.10137781137440251
0.54,0.10137781137440251
0.542,0.10137781137440251
0.544,0.10137781137440251
0.546,0.10137781137440251
0.548,0.10137781137440251
0.55,0.10137781137440251
0.552,0.10137781137440251
0.554,0.10137781137440251
0.556,0.10137781137440251
0.558,0.10137781137440251
0.56,0.10137781137440251
0.562,0.10137781137440251
0.5640000000000001,0.10137781137440251
0.5660000000000001,0.10137781137440251
0.5680000000000001,0.10137781137440251
0.5700000000000001,0.10137781137440251
0.5720000000000001,0.10137781137440251
0.5740000000000001,0.10137781137440251
0.5760000000000001,0.10137781137440251
0.578,0.10137781137440251
0.58,0.10137781137440251
0.582,0.10137781137440251
0.584,0.10137781137440251
0.586,0.10137781137440251
0.588,0.10137781137440251
0.59,0.10137781137440251
0.592,0.10137781137440251
0.594,0.10137781137440251
0.596,0.10137781137440251
0.598,0.10137781137440251
0.6,0.10137781137440251
0.602,0.10137781137440251
0.604,0.10137781137440251
0.606,0.10137781137440251
0.608,0.10137781137440251
0.61,0.10137781137440251
0.612,0.10137781137440251
0.614,0.10137781137440251
0.616,0.10137781137440251
0.618,0.10137781137440251
0.62,0.10137781137440251
0.622,0.10137781137440251
0.624,0.10137781137440251
0.626,0.10137781137440251
0.628,0.10137781137440251
0.63,0.10137781137440251
0.632,0.10137781137440251
0.634,0.10137781137440251
0.636,0.10137781137440251
0.638,0.10137781137440251
0.64,0.10137781137440251
0.642,0.10137781137440251
0.644,0.10137781137440251
0.646,0.10137781137440251
0.648,0.10137781137440251
0.65,0.10137781137440251
0.652,0.10137781137440251
0.654,0.10137781137440251
0.656,0.10137781137440251
0.658,0.10137781137440251
0.66,0.10137781137440251
0.662,0.10137781137440251
0.664,0.10137781137440251
0.666,0.10137781137440251
0.668,0.10137781137440251
0.67,0.10137781137440251
0.672,0.10137781137440251
0.674,0.10137781137440251
0.676,0.10137781137440251
0.678,0.10137781137440251
0.68,0.10137781137440251
0.682,0.10137781137440251
0.684,0.10137781137440251
0.686,0.10137781137440251
0.6880000000000001,0.10137781137440251
0.6900000000000001,0.10137781137440251
0.6920000000000001,0.10137781137440251
0.6940000000000001,0.10137781137440251
0.6960000000000001,0.10137781137440251
0.6980000000000001,0.10137781137440251
0.7000000000000001,0.10137781137440251
0.7020000000000001,0.10137781137440251
0.704,0.10137781137440251
0.706,0.10137781137440251
0.708,0.10137781137440251
0.71,0.10137781137440251
0.712,0.10137781137440251
0.714,0.10137781137440251
0.716,0.10137781137440251
0.718,0.10137781137440251
0.72,0.10137781137440251
0.722,0.10137781137440251
0.724,0.10137781137440251
0.726,0.10137781137440251
0.728,0.10137781137440251
0.73,0.10137781137440251
0.732,0.10137781137440251
0.734,0.10137781137440251
0.736,0.10137781137440251
0.738,0.10137781137440251
0.74,0.10137781137440251
0.742,0.10137781137440251
0.744,0.10137781137440251
0.746,0.10137781137440251
0.748,0.10137781137440251
0.75,0.10137781137440251
0.752,0.10137781137440251
0.754,0.10137781137440251
0.756,0.10137781137440251
0.758,0.10137781137440251
0.76,0.10137781137440251
0.762,0.10137781137440251
0.764,0.10137781137440251
0.766,0.10137781137440251
0.768,0.10137781137440251
0.77,0.10137781137440251
0.772,0.10137781137440251
0.774,0.10137781137440251
0.776,0.10137781137440251
0.778,0.10137781137440251
0.78,0.10137781137440251
0.782,0.10137781137440251
0.784,0.10137781137440251
0.786,0.10137781137440251
0.788,0.10137781137440251
0.79,0.10137781137440251
0.792,0.10137781137440251
0.794,0.10137781137440251
0.796,0.10137781137440251
0.798,0.10137781137440251
0.8,0.10137781137440251
0.802,0.10137781137440251
0.804,0.10137781137440251
0.806,0.10137781137440251
0.808,0.10137781137440251
0.81,0.10137781137440251
0.812,0.10137781137440251
0.8140000000000001,0.10137781137440251
0.8160000000000001,0.10137781137440251
0.8180000000000001,0.10137781137440251
0.8200000000000001,0.10137781137440251
0.8220000000000001,0.10137781137440251
0.8240000000000001,0.10137781137440251
0.8260000000000001,0.10137781137440251
0.8280000000000001,0.10137781137440251
0.8300000000000001,0.10137781137440251
0.8320000000000001,0.10137781137440251
0.834,0.10137781137440251
0.836,0.10137781137440251
0.838,0.10137781137440251
0.84,0.10137781137440251
0.842,0.10137781137440251
0.844,0.10137781137440251
0.846,0.10137781137440251
0.848,0.10137781137440251
0.85,0.10137781137440251
0.852,0.10137781137440251
0.854,0.10137781137440251
0.856,0.10137781137440251
0.858,0.10137781137440251
0.86,0.10137781137440251
0.862,0.10137781137440251
0.864,0.10137781137440251
0.866,0.10137781137440251
0.868,0.10137781137440251
0.87,0.10137781137440251
0.872,0.10137781137440251
0.874,0.10137781137440251
0.876,0.10137781137440251
0.878,0.10137781137440251
0.88,0.10137781137440251
0.882,0.10137781137440251
0.884,0.10137781137440251
0.886,0.10137781137440251
0.888,0.10137781137440251
0.89,0.10137781137440251
0.892,0.10137781137440251
0.894,0.10137781137440251
0.896,0.10137781137440251
0.898,0.10137781137440251
0.9,0.10137781137440251
0.902,0.10137781137440251
0.904,0.10137781137440251
0.906,0.10137781137440251
0.908,0.10137781137440251
0.91,0.10137781137440251
0.912,0.10137781137440251
