r_mm,t_mm,B_r
0.0,0.1013778113744025,9.0
0.002,0.1013778113744025,8.999995500001125
0.004,0.1013778113744025,8.999982000018
0.006,0.1013778113744025,8.999959500091125
0.008,0.1013778113744025,8.999928000288
0.01,0.1013778113744025,8.999887500703123
0.012,0.1013778113744025,8.999838001457992
0.014,0.1013778113744025,8.999779502701102
0.016,0.1013778113744025,8.99971200460795
0.018000000000000002,0.1013778113744025,8.999635507381026
0.02,0.1013778113744025,8.999550011249813
0.022,0.1013778113744025,8.999455516470793
0.024,0.1013778113744025,8.99935202332744
0.026,0.1013778113744025,8.99923953213022
0.028,0.1013778113744025,8.999118043216587
0.030000000000000002,0.1013778113744025,8.99898755695099
0.032,0.1013778113744025,8.998848073724854
0.03400000000000001,0.1013778113744025,8.998699593956598
0.036000000000000004,0.1013778113744025,8.998542118091622
0.038,0.1013778113744025,8.998375646602303
0.04,0.1013778113744025,8.998200179988
0.042,0.1013778113744025,8.998015718775044
0.044,0.1013778113744025,8.997822263516742
0.046,0.1013778113744025,8.99761981479337
0.048,0.1013778113744025,8.99740837321217
0.05,0.1013778113744025,8.99718793940735
0.052,0.1013778113744025,8.996958514040083
0.054,0.1013778113744025,8.99672009779849
0.056,0.1013778113744025,8.996472691397654
0.05800000000000001,0.1013778113744025,8.996216295579607
0.060000000000000005,0.1013778113744025,8.995950911113328
0.062,0.1013778113744025,8.995676538794738
0.064,0.1013778113744025,8.9953931794467
0.066,0.1013778113744025,8.995100833919007
0.06800000000000002,0.1013778113744025,8.994799503088391
0.07,0.1013778113744025,8.994489187858502
0.07200000000000001,0.1013778113744025,8.99416988915992
0.074,0.1013778113744025,8.993841607950133
0.076,0.1013778113744025,8.993504345213552
0.078,0.1013778113744025,8.993158101961486
0.08,0.1013778113744025,8.992802879232153
0.082,0.1013778113744025,8.992438678090666
0.084,0.1013778113744025,8.992065499629033
0.086,0.1013778113744025,8.991683344966143
0.088,0.1013778113744025,8.99129221524777
0.09,0.1013778113744025,8.990892111646563
0.092,0.1013778113744025,8.990483035362038
0.09400000000000001,0.1013778113744025,8.99006498762058
0.096,0.1013778113744025,8.989637969675425
0.098,0.1013778113744025,8.989201982806662
0.1,0.1013778113744025,8.988757028321228
0.102,0.1013778113744025,8.988303107552893
0.104,0.1013778113744025,8.987840221862262
0.106,0.1013778113744025,8.987368372636766
0.108,0.1013778113744025,8.986887561290649
0.11,0.1013778113744025,8.986397789264966
0.112,0.1013778113744025,8.985899058027583
0.114,0.1013778113744025,8.98539136907315
0.11600000000000002,0.1013778113744025,8.98487472392312
0.118,0.1013778113744025,8.984349124125716
