Layer k,r_in (mm),r_out (mm),I_inner / I0,I_avg / I0,t_k (mm),B_avg (check)
1,0.0,1.697056274847714,1.0,0.8397879831360248,0.10137781137440251,4.198939915680124
2,1.697056274847714,2.4,0.697676326071031,0.5859001947529426,0.14530779902668095,4.198939915680123
3,2.4,2.939387691339813,0.48675225595997174,0.4087686953195349,0.20827394250996414,4.198939915680126
4,2.939387691339813,3.394112549695428,0.33959552564493933,0.28518824156338163,0.29852516808598073,4.198939915680121
5,3.394112549695428,3.794733192202055,0.23692775868212176,0.19896908461259777,0.42788490440420623,4.198939915680123
6,3.794733192202055,4.156921938165305,0.1652988882215865,0.13881601995423345,0.6133000195288881,4.1989399156801275
7,4.156921938165305,4.489988864128729,0.11532512103806256,0.09684865080147248,0.8790609579411861,4.198939915680123
8,4.489988864128729,4.8,0.08045960674953251,0.06756901087610757,1.2599839282086915,4.198939915680123
