r_mm,film_before_mm,film_after_mm,mirror_before_um,mirror_after_um
0.0,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.002,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.004,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.006,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.008,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.01,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.012,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.014,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.016,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.018000000000000002,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.02,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.022,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.024,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.026000000000000002,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.028,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.03,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.032,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.034,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.036000000000000004,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.038,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.04,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.042,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.044,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.046,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.048,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.05,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.052000000000000005,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.054,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.056,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.058,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.06,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.062,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.064,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.066,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.068,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.07,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.07200000000000001,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.074,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.076,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.078,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.08,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.082,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.084,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.08600000000000001,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.088,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.09,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.092,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.094,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.096,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.098,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.1,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.10200000000000001,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.10400000000000001,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.106,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.108,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.11,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.112,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.114,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.116,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.11800000000000001,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.12,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.122,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.124,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.126,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.128,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.13,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.132,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.134,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.136,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.138,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.14,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
0.14200000000000002,0.10137781137440251,0.10137781137440251,271.19999999999993,274.3999999999999
