Layer k,r range (mm),film delay (ps),d_rel_cont (µm),d_rel_quant (µm),abs height (µm),mirror delay (ps),resid Δτ after mirror (fs),dt_fine (nm),resid Δτ final (fs),"φ_total after mirror (rad, wrapped)","φ_total final (rad, wrapped)"
1,0.0–1.7,0.0,-0.0,-0.0,271.13229901520003,-0.0,0.0,0.0,0.0,0.0,0.0
2,1.7–2.4,0.06892185278266451,-10.331125827814565,-10.312860555200002,260.81943846,-0.06880000000000001,0.12185278266449573,-256.2328700854701,-0.2781472173355076,1.3687831981078418,0.4571441382884629
3,2.4–2.9,0.16816932078970143,-25.207947019867547,-25.182566472,245.9497325432,-0.168,0.16932078970142406,-76.96921854304729,0.049165684671567185,0.2738452174547632,4.263256414560601e-14
4,2.9–3.4,0.308769900466337,-46.283443708609255,-46.287955515200004,224.8443435,-0.3088,-0.030099533663003355,-256.2328700854701,-0.4300995336629815,1.759990651614629,0.8483515917953071
5,3.4–3.8,0.5100217105917174,-76.4503311258278,-76.50703528160001,194.6252637336,-0.5104000000000001,-0.3782894082826161,256.2328700854701,0.02171059171736203,-1.6813062717475127,-0.769667211928077
6,3.8–4.2,0.7994934922789083,-119.84105960264897,-119.7970662168,151.33523279840003,-0.7992,0.2934922789082421,256.2328700854701,0.6934922789082202,-3.09550889484834,-2.1838698350291317
7,4.2–4.5,1.2130246089748955,-181.82781456953637,-181.7941465312,89.33815248400002,-1.2128,0.2246089748955127,256.2328700854701,0.6246089748953898,-3.0496465806892665,-2.138007520870058
8,4.5–4.8,1.8085094170171165,-271.0887417218542,-271.13229901520003,0.0,-1.8088000000000002,-0.2905829828835299,-256.2328700854701,-0.690582982883609,1.0634445824416652,0.15180552262245683
const(out),4.0–8.0,1.8085094170171165,-271.0887417218542,-271.13229901520003,0.0,-1.8088000000000002,-0.2905829828835299,-256.2328700854701,-0.690582982883609,1.0634445824416652,0.15180552262245683
