r_mm,mirror_before_um,mirror_after_um
0.134,271.19999999999993,274.3999999999999
0.136,271.19999999999993,274.3999999999999
0.138,271.19999999999993,274.3999999999999
0.14,271.19999999999993,274.3999999999999
0.14200000000000002,271.19999999999993,274.3999999999999
0.14400000000000002,271.19999999999993,274.3999999999999
0.146,271.19999999999993,274.3999999999999
0.148,271.19999999999993,274.3999999999999
0.15,271.19999999999993,274.3999999999999
0.152,271.19999999999993,274.3999999999999
0.154,271.19999999999993,274.3999999999999
0.156,271.19999999999993,274.3999999999999
0.158,271.19999999999993,274.3999999999999
0.16,271.19999999999993,274.3999999999999
0.162,271.19999999999993,274.3999999999999
0.164,271.19999999999993,274.3999999999999
0.166,271.19999999999993,274.3999999999999
0.168,271.19999999999993,274.3999999999999
0.17,271.19999999999993,274.3999999999999
0.17200000000000001,271.19999999999993,274.3999999999999
0.17400000000000002,271.19999999999993,274.3999999999999
0.176,271.19999999999993,274.3999999999999
0.178,271.19999999999993,274.3999999999999
0.18,271.19999999999993,274.3999999999999
0.182,271.19999999999993,274.3999999999999
0.184,271.19999999999993,274.3999999999999
0.186,271.19999999999993,274.3999999999999
0.188,271.19999999999993,274.3999999999999
0.19,271.19999999999993,274.3999999999999
0.192,271.19999999999993,274.3999999999999
0.194,271.19999999999993,274.3999999999999
0.196,271.19999999999993,274.3999999999999
0.198,271.19999999999993,274.3999999999999
0.2,271.19999999999993,274.3999999999999
0.202,271.19999999999993,274.3999999999999
0.20400000000000001,271.19999999999993,274.3999999999999
0.20600000000000002,271.19999999999993,274.3999999999999
0.20800000000000002,271.19999999999993,274.3999999999999
0.21,271.19999999999993,274.3999999999999
0.212,271.19999999999993,274.3999999999999
0.214,271.19999999999993,274.3999999999999
0.216,271.19999999999993,274.3999999999999
0.218,271.19999999999993,274.3999999999999
0.22,271.19999999999993,274.3999999999999
0.222,271.19999999999993,274.3999999999999
0.224,271.19999999999993,274.3999999999999
0.226,271.19999999999993,274.3999999999999
0.228,271.19999999999993,274.3999999999999
0.23,271.19999999999993,274.3999999999999
0.232,271.19999999999993,274.3999999999999
0.234,271.19999999999993,274.3999999999999
0.23600000000000002,271.19999999999993,274.3999999999999
0.23800000000000002,271.19999999999993,274.3999999999999
0.24,271.19999999999993,274.3999999999999
0.242,271.19999999999993,274.3999999999999
0.244,271.19999999999993,274.3999999999999
0.246,271.19999999999993,274.3999999999999
0.248,271.19999999999993,274.3999999999999
0.25,271.19999999999993,274.3999999999999
0.252,271.19999999999993,274.3999999999999
0.254,271.19999999999993,274.3999999999999
0.256,271.19999999999993,274.3999999999999
0.258,271.19999999999993,274.3999999999999
0.26,271.19999999999993,274.3999999999999
0.262,271.19999999999993,274.3999999999999
0.264,271.19999999999993,274.3999999999999
0.266,271.19999999999993,274.3999999999999
0.268,271.19999999999993,274.3999999999999
0.27,271.19999999999993,274.3999999999999
0.272,271.19999999999993,274.3999999999999
0.274,271.19999999999993,274.3999999999999
0.276,271.19999999999993,274.3999999999999
0.278,271.19999999999993,274.3999999999999
0.28,271.19999999999993,274.3999999999999
0.28200000000000003,271.19999999999993,274.3999999999999
0.28400000000000003,271.19999999999993,274.3999999999999
0.28600000000000003,271.19999999999993,274.3999999999999
0.28800000000000003,271.19999999999993,274.3999999999999
0.29,271.19999999999993,274.3999999999999
0.292,271.19999999999993,274.3999999999999
0.294,271.19999999999993,274.3999999999999
0.296,271.19999999999993,274.3999999999999
0.298,271.19999999999993,274.3999999999999
0.3,271.19999999999993,274.3999999999999
0.302,271.19999999999993,274.3999999999999
0.304,271.19999999999993,274.3999999999999
0.306,271.19999999999993,274.3999999999999
0.308,271.19999999999993,274.3999999999999
0.31,271.19999999999993,274.3999999999999
0.312,271.19999999999993,274.3999999999999
0.314,271.19999999999993,274.3999999999999
0.316,271.19999999999993,274.3999999999999
0.318,271.19999999999993,274.3999999999999
0.32,271.19999999999993,274.3999999999999
0.322,271.19999999999993,274.3999999999999
